Program ID,Program Title,Institution,Location,Primary Language,Language,Study Format,Duration (in semesters),Total Credits (in ECTS),Degree Type,Specialization,Modality,Tuition Fees,Academic Admission Requirements,Language Admission Requirements,Course Code,Course Title,Course Credits (in ECTS),Course Description,Prerequisites
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 261,Basics of Computer Systems,8.0,"Software architecture, operating systems, and I/O architectures. Relationships between application software, operating systems, and computing hardware; critical sections, deadlock avoidance, and performance; principles and operation of disks and networks. [3-2-1]","One of EECE 259, CPEN 211 and one of EECE 210, CPEN 221."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 298,Co-operative Work Placement I,6.0,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during Winter Session of second year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.,
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 299,Co-operative Work Placement II,6.0,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the summer following the second year. Technical report required. Restricted to students admitted to the Co-operative Education.,[CPSC298]This course is not eligible for Credit/D/Fail grading.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 302,Numerical Computation for Algebraic Problems,6.0,"Numerical techniques for basic mathematical processes involving no discretization, and their analysis. Solution of linear systems, including analysis of round-off errors; norms and condition number; introduction to iterative techniques in linear algebra, including eigenvalue problems; solution to nonlinear equations. [3-0-0]","One of CPSC 103, CPSC 110, CPEN 221, EOSC 211, PHYS 210 and one of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 and one of MATH 152, MATH 221, MATH 223."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 303,Numerical Approximation and Discretization,6.0,"Numerical techniques for basic mathematical processes involving discretization, and their analysis. Interpolation and approximation, including splines and least squares data fitting; numerical differentiation and integration; introduction to numerical initial value ordinary differential equations. [3-0-0]","One of CPSC 103, CPSC 110, CPEN 221, EOSC 211, PHYS 210 and one of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 and one of MATH 152, MATH 221, MATH 223."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 304,Introduction to Relational Databases,6.0,"Overview of database systems, ER models, logical database design and normalization, formal relational query languages, SQL and other commercial languages, data warehouses, special topics. [3-0-1]",CPSC_V 221 or DSCI_V 221.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 310,Introduction to Software Engineering,8.0,"Specification, design, validation, evolution and construction of modern software systems, within the context of socially and professionally relevant domains such as ethics, intellectual property, and information security. [3-2-0]","All of CPSC 213, CPSC 221."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 311,Definition of Programming Languages,6.0,"Comparative study of advanced programming language features. Statement types, data types, variable binding, parameter passing mechanisms. Methods for syntactic and semantic description of programming languages. [3-0-1]",CPSC 210.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 312,Functional and Logic Programming,6.0,"Principles of symbolic computing, using languages based upon first-order logic and the lambda calculus. Algorithms for implementing such languages. Applications to artificial intelligence and knowledge representation. [3-0-0]","One of CPSC 210, CPEN 221."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 313,Computer Hardware and Operating Systems,6.0,"Instruction sets, pipelining, code optimization, caching, virtual memory management, dynamically linked libraries, exception processing, execution time of programs. [3-0-1]",CPSC_V 213 and either CPSC_V 221 or DSCI_V 221.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 314,Computer Graphics,6.0,Human vision and colour; geometric transformations; algorithms for 2-D and 3-D graphics; hardware and system architectures; shading and lighting; animation. [3-1-0],"CPSC 221 and one of MATH 200, MATH 217, MATH 226, MATH 253 and one of MATH 152, MATH 221, MATH 223."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 317,Introduction to Computer Networking,6.0,"Computer networking, basic communication protocols, network infrastructure and routing. Common application-level protocols and principles associated with developing distributed applications. [3-0-1]",CPSC_V 213 and either CPSC_V 221 or DSCI_V 221.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 319,Software Engineering Project,8.0,"The design, implementation, and test of a large software system, using a team approach. [3-0-2]",CPSC 310.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 320,Intermediate Algorithm Design and Analysis,6.0,"Systematic study of basic concepts and techniques in the design and analysis of algorithms, illustrated from various problem areas. Topics include: models of computation; choice of data structures; graph-theoretic, algebraic, and text processing algorithms. [3-0-1]","All of (a) CPSC_V 221 or DSCI_V 221, (b) at least 3 credits from COMM_V 291, BIOL_V 300, MATH or STAT at 200 level or above."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 322,Introduction to Artificial Intelligence,6.0,Problem-solving and planning; state/action models and graph searching. Natural language understanding Computational vision. Applications of artificial intelligence. [3-0-0],CPSC 221.
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 330,Applied Machine Learning,6.0,"Application of machine learning tools, with an emphasis on solving practical problems. Data cleaning, feature extraction, supervised and unsupervised machine learning, reproducible workflows, and communicating results. [3-0-1]","Either (a) one of CPSC_V 203, CPSC_V 210, CPEN_V 221, DSCI_V 221 or (b) MATH_V 210 and one of CPSC_V 107, CPSC_V 110."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 340,Machine Learning and Data Mining,6.0,"Models of algorithms for dimensionality reduction, nonlinear regression, classification, clustering and unsupervised learning; applications to computer graphics, computer games, bio-informatics, information retrieval, e-commerce, databases, computer vision and artificial intelligence. [3-0-1]","All of (a) one of CPSC_V 221, DSCI_V 221 (b) one of MATH_V 152, MATH_V 221, MATH_V 223 (c) one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253, MATH_V 254 (d) one of STAT_V 241, STAT_V 251, ECON_V 325, ECON_V 327, MATH_V 302, STAT_V 302, MATH_V 318."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 344,Introduction to Human Computer Interaction Methods,6.0,"Basic tools and techniques, teaching a systematic approach to interface design, task analysis, analytic and empirical evaluation methods. [2-2-2]","One of CPSC 210, CPEN 221."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 349,Honours Research Seminar,0.0,"Students will attend a series of research seminars presented by faculty members, produce a thesis proposal, and choose their honours thesis supervisor. Available to Honours students. Majors students with satisfactory standing may also be permitted to enrol. [1-0-0]This course is not eligible for Credit/D/Fail grading.",
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 368,Databases in Data Science,6.0,"Overview of relational and non-relational database systems, role and usage of a database when querying data, data modelling, query languages, and query optimization. [3-0-1]","One of CPSC_V 203, CPSC_V 210, CPEN_V 221, DSCI_V 221."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 398,Co-operative Work Placement III,6.0,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the summer following the third year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.,
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 399,Co-operative Work Placement IV,6.0,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the fall term of the fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.,
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 402,Numerical Linear Algebra,6.0,"Investigation of the practical techniques of computational linear algebra. Orthogonal transformations and their application to the solution of linear equations, the eigenproblem, and linear least squares. Complete solution of the symmetric eigenproblem, including bisection and the QR method. Refinements of these techniques for sparse matrices. [3-0-0]","One of CPSC 302, CPSC 303, MATH 307."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 404,Advanced Relational Databases,6.0,"Physical database design, indexing, external mergesort, relational query processing and optimization, transaction processing, concurrency control, crash recovery, special topics. [3-0-0]","CPSC 304 and one of CPSC 213, CPSC 261, CPEN 212."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 406,Computational Optimization,6.0,"Formulation and analysis of algorithms for continuous and discrete optimization problems; linear, nonlinear, network, dynamic, and integer optimization; large-scale problems; software packages and their implementation; duality theory and sensitivity. [3-0]","One of CPSC 302, CPSC 303, MATH 307."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 410,Advanced Software Engineering,6.0,"Specification, design, construction and validation of multi-version software systems. [3-0-0]","Either (a) CPSC 310 or (b) all of CPEN 321, CPEN 331."
UBC001,Master of Science in Computer Science (MSc),University of British Columbia,"Vancouver, Canada",English,English,Full-time,4.0,60.0,MSc,,On Campus,"$5,626.02 CAD (Domestic) / $9,883.98 CAD (International)","The Faculty of Graduate and Postdoctoral Studies establishes the minimum admission requirements common to all applicants, usually a minimum overall average in the B+ range (76% at UBC). The graduate program that you are applying to may have additional requirements. Please review the specific requirements for applicants with credentials from institutions in:","TOEFL iBT: 100 overall, IELTS Academic: 7.0 overall",CPSC_V 411,Introduction to Compiler Construction,6.0,"A practical introduction to lexical analysis, syntactic analysis, type-checking, code generation and optimization. This will be used to design and implement a compiler for a small language. [3-0-0]","All of CPSC 213, CPSC 221, CPSC 311."
